path,sha256_before,sha256_after,reason
analysis/i18n_explorador.json,b7b98bb997eadbcbbe15f45d615f34f42ab005ceb3018c9af2268f1c744f1032,4c17722d176d192d6eff7aa2b32261541a7f2801f645c0b7cecfc0f75b3f5461,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/figures/data/Fig2_datos.xlsx,8cdc4c1c352e8c129ca8ff47f1dd79fc853f274cf7368a81487e4af56d618747,c39abf3e47e10c0091296ccab0ebf6ed7a0fe67c06529c3639d498b2f1607cda,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/figures/Fig2_cascada_municipal_ESH.eps,82e150afb6bf022acfad0494b0a5c259bc4209be390d788f309b2b841d7ef3f7,263eaa369a1b2f12fb9eb98400c10d8b4623caf9010785b04170bb29bb5e45bf,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/figures/Fig2_cascada_municipal_ESH.png,c444a53e5ae0bf9d84ae201c2d23209b7983ecda447560af18f620ba35dc1117,77d8e7e6b0ab354a6eda66529fd4b1e5facb78801dec41b40533d329f4c76989,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/figures/Fig2_cascada_municipal_ESH.pptx,adfdbbc0488874b5ff2697978ba452f78a66b3820e8bb26e0d2c21a22410e39d,fbe1a2b4b8d11d6996c4d7bcb4d318086945c13482af2ed66e7c256d0973e38e,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/figures/Fig2_cascada_municipal_ESH.svg,4a4715251383da0b5bb35874667fb8760fa26a59427de7b83ecb7336766f3e34,312f8fffa312c682bed1baf4e3eacb194e48cc650027e0f5f7499467d313cf59,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/figures/FigS1_validacion_cruzada.png,456f622c36445bf0a76c3fd3bc03fc9c01d2e69b66b1a84eca939a2150e12ec3,915c4f4c0b651ad97ad042876ff81573ebf16fb2c454589f012397d6f4f97dc2,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/figures/FigS1_validacion_cruzada.pptx,6e40ce3e224382b713c5db8ed89ecb46cedcdb24f9bf0b1816af8e08f6adaffa,2aa1f2196b16fccd3496d6ea5bee79f139210672d71da811d7fd690254a20e62,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/figures/FigS1_validacion_cruzada.svg,e965b422e2e47c5e619e15b74dbcc9bf05c3ea677bb93ec36ac32c7e8e5fdd7f,22a3d77e9554683e675ebeac4a51e5783f42bff5b7a6500936cd9278f7a473f0,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/estimates/cv_detalle_AWARE_AHA.csv,3ad3db6cf1af6b95de7ad3d86bf222ca71ee2ca4af2199427bdde2ee6dc92a7d,6d2e244320400361e92226d95dacf3a81b01dc622bb2fb4e49f15b14333e32ed,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/estimates/cv_detalle_AWARE_AHA_contiguo.csv,0643d42b477ac5cf788e2e6514b81e5ababbc2623f51a0f85f594ccb093aa7f5,7b56b46702aeb4d645a4faa60046224416d50be273aad493465aa1a74da6d371,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/estimates/cv_detalle_AWARE_ESH.csv,5e93e95c516ae3db8c14c1106ba2c0f9e1d3432bef60d99117a3bd561a485594,64192b4a432449a97012027bda3b42db63791f2d7dba22ca459d3f5a578b85a2,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/estimates/cv_detalle_AWARE_ESH_contiguo.csv,26bfa5069a02a0ea03cc4a0ec443dfb8e513d89cf4db14986cfc4515afe0eda4,a5abf5a4fefdfca76f2de75ce79945409e7b0ac84d57fc6a2eada8a68ac5de33,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
results/estimates/cv_detalle_CONTROL_AHA.csv,1d2bc2ef2d84b83056cfa8abe13d8dd0ad12bdd81cc72874512aed0d108f375e,25c1afe5e0d18489d124e0e44c4be18c232b0992d93f23631a435205c41f5f68,"Closure 2026-09-21: training-only CV comparator, S8 descriptive/missingness reporting, or standardized estimand presentation; preserved BYM2 predictions and municipal estimates. No INLA refit."
